motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	-+	23	0.1384	0.0092	0.0041	0.0805	0.0092	0.0041	3.0517	0.1708	0.0764
2	-+	24	0.1354	0.0189	0.0084	0.0774	0.0129	0.0058	3.0496	0.1607	0.0719
2	-+	25	0.1421	0.0101	0.0045	0.0842	0.011	0.0049	3.0543	0.17	0.076
2	-+	26	0.1329	0.0211	0.0094	0.0749	0.0151	0.0068	3.0479	0.1603	0.0717
2	-+	27	0.1414	0.0091	0.0041	0.0834	0.0096	0.0043	3.0537	0.1707	0.0764
2	-+	28	0.1467	0.0338	0.0151	0.0887	0.028	0.0125	3.0574	0.1529	0.0684
2	-+	29	0.1399	0.0091	0.0041	0.0819	0.0098	0.0044	3.0527	0.1704	0.0762
2	-+	30	0.1357	0.0223	0.01	0.0777	0.0163	0.0073	3.0498	0.1588	0.071
2	-+	31	0.1398	0.0091	0.0041	0.0818	0.0116	0.0052	3.0526	0.1715	0.0767
2	-+	32	0.1362	0.0275	0.0123	0.0783	0.0216	0.0097	3.0502	0.1565	0.07
2	-+	33	0.134	0.0114	0.0051	0.076	0.0132	0.0059	3.0486	0.172	0.0769
2	-+	34	0.1318	0.0219	0.0098	0.0739	0.0159	0.0071	3.0471	0.1587	0.071
2	-+	35	0.138	0.0099	0.0044	0.0801	0.0117	0.0052	3.0514	0.171	0.0765
2	-+	36	0.139	0.0273	0.0122	0.0811	0.0213	0.0095	3.0521	0.1563	0.0699
2	-+	37	0.1361	0.0069	0.0031	0.0782	0.0087	0.0039	3.0501	0.171	0.0765
2	-+	38	0.1306	0.0203	0.0091	0.0727	0.0144	0.0064	3.0463	0.1604	0.0717
2	-+	39	0.135	0.0076	0.0034	0.0771	0.0103	0.0046	3.0494	0.1715	0.0767
2	-+	40	0.1385	0.0252	0.0113	0.0806	0.0193	0.0087	3.0518	0.1575	0.0704
2	-+	41	0.1431	0.0096	0.0043	0.0852	0.0107	0.0048	3.055	0.1702	0.0761
2	-+	42	0.1372	0.0224	0.01	0.0793	0.0164	0.0073	3.0509	0.1589	0.0711
2	-+	43	0.1405	0.0074	0.0033	0.0826	0.007	0.0031	3.0532	0.1689	0.0755
2	-+	44	0.1399	0.0266	0.0119	0.0819	0.0207	0.0093	3.0527	0.1564	0.0699
2	-+	45	0.1396	0.0072	0.0032	0.0816	0.007	0.0031	3.0525	0.1693	0.0757
2	-+	46	0.1355	0.0226	0.0101	0.0776	0.0166	0.0074	3.0497	0.1588	0.071
2	-+	47	0.1456	0.0078	0.0035	0.0877	0.0076	0.0034	3.0567	0.1687	0.0755
2	-+	48	0.1398	0.0245	0.0109	0.0819	0.0186	0.0083	3.0527	0.1583	0.0708
2	-+	49	0.1391	0.0085	0.0038	0.0811	0.0089	0.004	3.0522	0.1697	0.0759
2	-+	50	0.1393	0.0226	0.0101	0.0814	0.0166	0.0074	3.0523	0.1591	0.0711
