peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
287	1	0	0	0	0	0	0	0	0	0	0	0	1
288	2	0	0	0	1	0	1	0	0	0	0	0	4
289	0	0	1	0	0	0	0	0	0	0	0	0	1
290	1	0	0	1	1	0	0	0	0	0	0	0	3
292	2	0	0	0	0	0	0	0	0	0	0	0	2
293	0	0	0	0	1	0	0	0	0	0	0	0	1
294	0	0	0	0	0	0	0	1	0	0	0	0	1
296	5	0	0	0	0	0	0	0	0	0	0	0	5
297	4	0	0	0	0	0	0	0	0	0	0	0	4
298	1	0	0	0	0	0	0	0	0	0	0	0	1
299	0	0	1	0	0	0	0	0	0	0	0	0	1
300	0	0	0	1	0	0	0	0	0	0	0	0	1
301	1	0	0	1	0	0	0	0	0	0	0	0	2
302	3	0	0	0	0	0	0	0	0	0	0	0	3
304	2	0	0	0	1	0	0	0	0	0	0	0	3
306	4	0	0	0	0	0	1	0	0	0	0	0	5
307	0	0	0	0	1	0	0	0	0	0	0	0	1
308	1	0	0	0	0	0	0	0	0	0	0	0	1
309	2	0	0	0	0	0	0	2	0	0	0	0	4
310	3	1	0	0	2	0	0	0	0	0	0	0	6
311	2	0	0	0	0	0	0	0	0	0	0	0	2
312	1	0	0	1	0	0	0	1	0	0	0	0	3
313	1	0	0	1	0	0	0	0	0	0	0	0	2
314	0	0	0	0	1	0	0	0	0	0	0	0	1
315	1	0	0	0	2	0	0	0	0	0	0	0	3
317	0	0	0	1	0	0	0	0	0	0	0	0	1
318	1	0	0	0	0	0	0	0	0	0	0	0	1
319	2	0	0	1	0	0	0	1	0	0	0	0	4
320	1	0	0	0	0	0	0	1	0	0	0	0	2
321	1	0	1	0	1	0	0	0	0	0	0	0	3
322	3	0	0	0	0	0	0	0	0	0	0	0	3
323	0	0	1	0	0	0	1	0	0	0	0	0	2
324	1	0	0	0	2	0	0	0	0	0	0	0	3
325	3	0	0	0	0	0	0	0	0	0	0	0	3
326	0	0	0	0	0	0	1	1	0	0	0	0	2
327	2	0	0	0	1	0	0	0	0	0	0	0	3
328	1	0	0	0	0	0	1	0	0	0	0	0	2
329	1	0	0	0	0	0	0	0	0	0	0	0	1
330	3	0	0	0	0	0	0	0	0	0	0	0	3
331	1	0	0	0	0	0	0	0	0	1	0	0	2
332	0	0	0	0	1	0	0	0	0	0	0	0	1
334	1	0	0	0	0	0	0	0	0	0	0	0	1
335	1	0	0	1	1	0	0	0	0	0	0	0	3
336	1	0	0	1	0	0	0	0	0	0	0	0	2
338	3	0	0	0	0	0	0	1	0	0	0	0	4
339	0	0	0	1	0	0	0	0	0	0	0	0	1
340	2	0	0	0	0	0	1	0	0	0	0	0	3
341	3	0	0	0	0	0	0	0	0	0	0	0	3
343	0	0	0	0	1	0	0	0	0	0	0	0	1
344	1	0	0	1	1	0	0	0	0	0	0	0	3
345	0	0	1	0	0	1	0	0	0	0	0	0	2
346	1	0	0	0	1	1	0	0	0	0	0	0	3
347	0	0	0	0	2	0	0	0	0	0	0	0	2
348	2	0	0	0	0	0	0	0	0	0	0	0	2
349	3	0	0	0	0	0	0	0	0	0	0	0	3
350	1	0	0	0	0	0	0	0	0	0	0	0	1
351	2	0	0	0	0	0	0	0	0	0	0	0	2
352	2	0	0	0	0	0	0	0	0	0	0	0	2
353	0	0	0	0	1	1	0	0	0	0	0	0	2
354	2	0	0	0	0	0	0	0	0	0	0	0	2
355	1	0	0	1	0	0	0	1	0	0	0	0	3
356	3	0	0	0	0	0	0	0	0	0	0	0	3
358	3	0	0	1	0	0	0	1	0	0	0	0	5
359	1	0	0	0	1	0	0	0	0	0	0	0	2
360	1	0	0	0	0	0	0	1	0	0	0	0	2
361	0	0	0	0	2	0	0	0	0	0	0	0	2
362	2	0	0	0	0	0	0	0	0	0	0	0	2
363	3	0	0	0	0	0	0	0	0	0	0	0	3
364	1	1	0	1	0	0	0	0	0	0	0	0	3
365	2	0	0	0	0	0	0	0	0	0	0	0	2
366	2	0	0	0	0	0	1	1	0	0	0	0	4
367	0	0	0	0	1	0	0	0	0	0	0	0	1
368	1	0	1	0	0	0	0	0	0	0	0	0	2
369	1	0	0	0	0	0	0	0	0	0	0	0	1
370	0	0	1	0	0	0	0	0	0	0	0	0	1
371	0	0	0	0	0	0	0	1	0	0	0	0	1
372	3	0	0	0	0	0	0	0	0	0	0	0	3
373	1	0	0	0	0	0	0	1	0	0	0	0	2
374	0	0	1	0	0	0	0	0	0	0	0	0	1
375	1	0	0	0	0	0	0	1	0	0	0	0	2
377	0	0	1	0	0	0	2	0	0	0	0	0	3
379	1	0	0	0	0	0	0	0	0	0	0	0	1
380	3	0	0	0	0	0	0	0	0	0	0	0	3
381	1	0	0	0	0	0	0	0	0	0	0	0	1
383	0	1	0	0	0	0	0	0	0	0	0	0	1
384	1	0	0	0	0	0	0	0	0	0	0	0	1
385	1	0	0	0	1	0	0	0	0	0	0	0	2
386	3	0	0	0	0	0	0	0	1	0	0	0	4
387	2	0	0	0	0	0	0	0	0	0	0	0	2
388	3	0	0	1	0	0	0	0	0	0	0	0	4
389	1	0	0	0	0	0	0	0	0	0	0	0	1
390	1	0	0	0	1	0	0	0	0	0	0	0	2
391	1	0	0	0	1	0	0	0	0	0	0	0	2
392	0	0	0	1	1	0	0	0	0	0	0	0	2
393	0	0	0	0	1	0	0	0	0	0	0	0	1
394	0	0	1	0	0	0	0	0	0	0	0	0	1
395	2	0	0	0	1	1	0	0	0	0	0	0	4
396	1	0	0	0	1	0	1	0	0	0	0	0	3
397	0	0	0	1	0	0	0	0	0	0	0	0	1
398	1	0	0	0	0	0	0	0	0	0	0	0	1
399	4	0	0	0	0	0	0	0	0	0	0	0	4
400	3	0	0	0	0	0	0	0	0	0	0	0	3
401	1	0	0	0	2	0	0	1	0	0	0	0	4
402	0	0	0	0	1	0	0	0	0	0	0	0	1
403	2	0	0	0	1	0	0	0	0	0	0	0	3
404	2	0	0	0	0	0	0	0	0	0	0	0	2
405	2	0	0	0	0	0	0	0	0	0	0	0	2
