motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	-+	22	0.5608	0.0384	0.0172	0.2763	0.0232	0.0104	1.9774	0.1121	0.0501
2	-+	23	0.6296	0.0379	0.017	0.3451	0.0234	0.0105	2.0251	0.1084	0.0485
2	-+	24	0.5884	0.0379	0.0169	0.3039	0.0229	0.0103	1.9966	0.1111	0.0497
2	-+	25	0.6885	0.0411	0.0184	0.404	0.0289	0.0129	2.0659	0.1182	0.0529
2	-+	26	0.5854	0.037	0.0166	0.3009	0.021	0.0094	1.9945	0.1138	0.0509
2	-+	27	0.6313	0.0423	0.0189	0.3468	0.0282	0.0126	2.0263	0.1144	0.0512
2	-+	28	0.5755	0.0386	0.0173	0.291	0.0236	0.0106	1.9876	0.1122	0.0502
2	-+	29	0.6452	0.0297	0.0133	0.3607	0.0225	0.0101	2.0359	0.0991	0.0443
2	-+	30	0.5696	0.0375	0.0167	0.2851	0.0214	0.0096	1.9835	0.1132	0.0506
2	-+	31	0.6334	0.0482	0.0216	0.3489	0.0344	0.0154	2.0278	0.1167	0.0522
2	-+	32	0.5842	0.039	0.0174	0.2997	0.0238	0.0107	1.9937	0.1127	0.0504
2	-+	33	0.6512	0.0323	0.0144	0.3667	0.0207	0.0092	2.0401	0.1047	0.0468
2	-+	34	0.5739	0.0353	0.0158	0.2894	0.02	0.0089	1.9865	0.1138	0.0509
2	-+	35	0.6131	0.0384	0.0172	0.3286	0.023	0.0103	2.0137	0.1124	0.0503
2	-+	36	0.5639	0.0396	0.0177	0.2794	0.0237	0.0106	1.9796	0.1138	0.0509
2	-+	37	0.625	0.0362	0.0162	0.3405	0.0248	0.0111	2.022	0.1028	0.046
2	-+	38	0.5801	0.0405	0.0181	0.2956	0.0249	0.0111	1.9908	0.1124	0.0503
2	-+	39	0.6186	0.0386	0.0173	0.3342	0.0239	0.0107	2.0175	0.1091	0.0488
2	-+	40	0.5711	0.033	0.0148	0.2866	0.0177	0.0079	1.9846	0.1108	0.0495
2	-+	41	0.6305	0.0313	0.014	0.346	0.0156	0.007	2.0257	0.1125	0.0503
2	-+	42	0.5497	0.0335	0.015	0.2653	0.0184	0.0082	1.9698	0.1104	0.0494
2	-+	43	0.5932	0.0362	0.0162	0.3087	0.021	0.0094	1.9999	0.1101	0.0492
2	-+	44	0.5639	0.0387	0.0173	0.2795	0.0225	0.0101	1.9796	0.1146	0.0513
2	-+	45	0.6071	0.0316	0.0141	0.3226	0.0179	0.008	2.0095	0.1081	0.0483
2	-+	46	0.5437	0.0372	0.0166	0.2592	0.0216	0.0097	1.9656	0.1115	0.0499
2	-+	47	0.595	0.0434	0.0194	0.3105	0.028	0.0125	2.0011	0.1139	0.051
2	-+	48	0.574	0.0361	0.0161	0.2895	0.0199	0.0089	1.9866	0.1145	0.0512
2	-+	49	0.6241	0.0335	0.015	0.3396	0.0204	0.0091	2.0213	0.1068	0.0478
2	-+	50	0.5814	0.0325	0.0145	0.2969	0.0172	0.0077	1.9917	0.1102	0.0493
4	++++	0	1.6586	0.3847	0.172	1.3741	0.3892	0.174	2.7383	0.2311	0.1033
4	++++	1	0.6314	0.1382	0.0618	0.3469	0.1487	0.0665	2.0264	0.0755	0.0338
4	++++	2	0.8341	0.1209	0.0541	0.5496	0.1105	0.0494	2.1669	0.1041	0.0466
4	++++	3	1.5124	0.1688	0.0755	1.2279	0.1762	0.0788	2.637	0.1276	0.0571
4	++++	4	1.3531	0.063	0.0282	1.0687	0.0659	0.0295	2.5267	0.0838	0.0375
4	++++	5	0.9992	0.2223	0.0994	0.7147	0.2336	0.1045	2.2813	0.0731	0.0327
4	++++	6	1.3891	0.0972	0.0434	1.1046	0.0872	0.039	2.5516	0.1053	0.0471
4	++++	7	1.3551	0.2262	0.1011	1.0706	0.235	0.1051	2.528	0.1525	0.0682
4	++++	8	1.3882	0.1134	0.0507	1.1037	0.1014	0.0453	2.5509	0.1343	0.0601
4	++++	9	1.4777	0.1682	0.0752	1.1932	0.1725	0.0771	2.613	0.1084	0.0485
4	++++	10	1.2437	0.0989	0.0442	0.9592	0.0831	0.0372	2.4508	0.1486	0.0665
4	++++	11	1.3678	0.1521	0.068	1.0834	0.1543	0.069	2.5368	0.0807	0.0361
4	++++	12	1.3202	0.0916	0.041	1.0357	0.0772	0.0345	2.5038	0.1271	0.0568
4	++++	13	1.2273	0.1019	0.0456	0.9428	0.1027	0.0459	2.4394	0.0769	0.0344
4	++++	14	1.2887	0.1076	0.0481	1.0042	0.0924	0.0413	2.482	0.1296	0.0579
4	++++	15	1.4207	0.0622	0.0278	1.1362	0.0574	0.0257	2.5735	0.0858	0.0384
4	++++	16	1.2898	0.1087	0.0486	1.0053	0.0939	0.042	2.4827	0.1309	0.0586
4	++++	17	1.1822	0.0551	0.0247	0.8977	0.0512	0.0229	2.4082	0.0853	0.0382
4	++++	18	1.3076	0.0955	0.0427	1.0231	0.0814	0.0364	2.4951	0.1292	0.0578
4	++++	19	1.3819	0.0445	0.0199	1.0975	0.0374	0.0167	2.5466	0.0922	0.0412
4	++++	20	1.2651	0.0932	0.0417	0.9807	0.0785	0.0351	2.4657	0.1236	0.0553
4	++++	21	1.2077	0.0685	0.0306	0.9232	0.0607	0.0271	2.4258	0.1154	0.0516
4	++++	22	1.245	0.0914	0.0409	0.9605	0.0768	0.0343	2.4517	0.1279	0.0572
4	++++	23	1.336	0.0529	0.0237	1.0515	0.0419	0.0187	2.5148	0.1014	0.0453
4	++++	24	1.2641	0.0848	0.0379	0.9796	0.0708	0.0317	2.465	0.1155	0.0516
4	++++	25	1.296	0.0867	0.0388	1.0115	0.0742	0.0332	2.487	0.153	0.0684
4	++++	26	1.2328	0.0885	0.0396	0.9483	0.0737	0.0329	2.4433	0.1268	0.0567
4	++++	27	1.2974	0.056	0.025	1.013	0.0416	0.0186	2.488	0.1108	0.0495
4	++++	28	1.235	0.0827	0.037	0.9505	0.0683	0.0305	2.4447	0.1209	0.0541
4	++++	29	1.2248	0.0558	0.025	0.9403	0.0462	0.0207	2.4377	0.104	0.0465
4	++++	30	1.2212	0.0822	0.0368	0.9367	0.0673	0.0301	2.4352	0.1229	0.055
4	++++	31	1.2646	0.0679	0.0304	0.9802	0.0525	0.0235	2.4653	0.1205	0.0539
4	++++	32	1.1946	0.0755	0.0338	0.9101	0.0615	0.0275	2.4168	0.1177	0.0527
4	++++	33	1.1602	0.0432	0.0193	0.8757	0.0338	0.0151	2.3929	0.1043	0.0466
