motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	+-	18	0.1825	0.0118	0.0053	0.0951	0.0085	0.0038	1.7298	0.1047	0.0468	0.0175	0.0104	0.0047	0.1728	0.0075	0.0033
2	+-	19	0.181	0.0123	0.0055	0.0937	0.0085	0.0038	1.7287	0.1051	0.047	0.0161	0.0108	0.0048	0.1713	0.0068	0.003
2	+-	20	0.173	0.0088	0.004	0.0857	0.0055	0.0025	1.7232	0.104	0.0465	0.0081	0.0081	0.0036	0.1633	0.0035	0.0015
2	+-	21	0.1704	0.0086	0.0038	0.083	0.0061	0.0028	1.7214	0.1026	0.0459	0.0054	0.009	0.004	0.1607	0.0035	0.0016
2	+-	22	0.1743	0.0148	0.0066	0.0869	0.0132	0.0059	1.7241	0.1011	0.0452	0.0093	0.0154	0.0069	0.1646	0.0112	0.005
2	+-	23	0.1703	0.0132	0.0059	0.083	0.0104	0.0047	1.7213	0.1029	0.046	0.0054	0.013	0.0058	0.1606	0.0082	0.0036
2	+-	24	0.1656	0.0119	0.0053	0.0782	0.0084	0.0037	1.718	0.1049	0.0469	0.0006	0.0107	0.0048	0.1558	0.0066	0.003
2	+-	25	0.1678	0.0096	0.0043	0.0805	0.0068	0.003	1.7196	0.1033	0.0462	0.0028	0.0095	0.0042	0.1581	0.0044	0.002
2	+-	26	0.17	0.0108	0.0048	0.0827	0.009	0.004	1.7211	0.1019	0.0456	0.0051	0.0112	0.005	0.1603	0.0075	0.0033
2	+-	27	0.1659	0.0108	0.0048	0.0785	0.0068	0.003	1.7183	0.1055	0.0472	0.0009	0.0082	0.0037	0.1561	0.0065	0.0029
2	+-	28	0.163	0.0135	0.006	0.0757	0.0095	0.0042	1.7163	0.1065	0.0476	-0.0019	0.0109	0.0049	0.1533	0.0089	0.004
2	+-	29	0.1612	0.0124	0.0055	0.0739	0.0085	0.0038	1.715	0.1053	0.0471	-0.0038	0.0107	0.0048	0.1515	0.0069	0.0031
2	+-	30	0.1666	0.0161	0.0072	0.0793	0.0129	0.0058	1.7188	0.1046	0.0468	0.0016	0.0148	0.0066	0.1569	0.0114	0.0051
2	+-	31	0.1596	0.014	0.0062	0.0723	0.0105	0.0047	1.7139	0.1046	0.0468	-0.0054	0.0125	0.0056	0.1499	0.0092	0.0041
