motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	-+	1	0.3513	0.057	0.0255	0.1353	0.06	0.0268	1.8416	0.1107	0.0495	0.1889	0.0585	0.0262	0.0817	0.0623	0.0279
2	-+	2	0.4793	0.0167	0.0075	0.2633	0.0122	0.0055	1.9302	0.1041	0.0466	0.3169	0.015	0.0067	0.2097	0.0133	0.006
2	-+	3	0.4041	0.0254	0.0114	0.1881	0.0198	0.0088	1.8781	0.1179	0.0527	0.2416	0.021	0.0094	0.1345	0.0211	0.0094
2	-+	4	0.507	0.0454	0.0203	0.291	0.0488	0.0218	1.9495	0.0832	0.0372	0.3446	0.0485	0.0217	0.2374	0.0501	0.0224
2	-+	5	0.4251	0.0477	0.0213	0.2091	0.0441	0.0197	1.8927	0.1352	0.0604	0.2627	0.0435	0.0195	0.1555	0.0457	0.0205
2	-+	6	0.3397	0.0286	0.0128	0.1237	0.0234	0.0105	1.8335	0.122	0.0546	0.1773	0.0238	0.0106	0.0701	0.0252	0.0113
2	-+	7	0.4296	0.0213	0.0095	0.2136	0.021	0.0094	1.8958	0.0953	0.0426	0.2672	0.0234	0.0105	0.16	0.0209	0.0093
2	-+	8	0.4142	0.0226	0.0101	0.1982	0.029	0.013	1.8851	0.107	0.0478	0.2518	0.0246	0.011	0.1446	0.0343	0.0154
2	-+	9	0.4133	0.0241	0.0108	0.1973	0.0215	0.0096	1.8845	0.1149	0.0514	0.2508	0.0212	0.0095	0.1437	0.0241	0.0108
2	-+	10	0.4227	0.0209	0.0094	0.2067	0.0205	0.0091	1.891	0.0963	0.0431	0.2603	0.0222	0.0099	0.1531	0.0212	0.0095
2	-+	11	0.4298	0.0278	0.0125	0.2138	0.0235	0.0105	1.896	0.1188	0.0531	0.2674	0.0242	0.0108	0.1602	0.0249	0.0111
2	-+	12	0.4613	0.0159	0.0071	0.2453	0.0075	0.0034	1.9178	0.1114	0.0498	0.2989	0.0112	0.005	0.1917	0.0097	0.0043
2	-+	13	0.46	0.0176	0.0079	0.244	0.0104	0.0047	1.9169	0.1062	0.0475	0.2976	0.0147	0.0066	0.1905	0.0102	0.0046
2	-+	14	0.4843	0.0203	0.0091	0.2683	0.015	0.0067	1.9337	0.1052	0.047	0.3219	0.0183	0.0082	0.2147	0.0147	0.0066
2	-+	15	0.4655	0.0344	0.0154	0.2495	0.0266	0.0119	1.9207	0.1158	0.0518	0.3031	0.0311	0.0139	0.1959	0.0234	0.0105
2	-+	16	0.4911	0.029	0.013	0.2751	0.0188	0.0084	1.9384	0.1187	0.0531	0.3287	0.0236	0.0105	0.2215	0.0159	0.0071
2	-+	17	0.459	0.0208	0.0093	0.243	0.0182	0.0082	1.9162	0.1021	0.0456	0.2966	0.0206	0.0092	0.1894	0.0186	0.0083
2	-+	18	0.4725	0.0276	0.0124	0.2565	0.017	0.0076	1.9255	0.1155	0.0516	0.31	0.0223	0.01	0.2029	0.0136	0.0061
2	-+	19	0.4497	0.0279	0.0125	0.2337	0.0191	0.0086	1.9097	0.109	0.0487	0.2873	0.0251	0.0112	0.1801	0.0144	0.0064
2	-+	20	0.4874	0.0271	0.0121	0.2714	0.0171	0.0076	1.9359	0.1187	0.0531	0.325	0.0212	0.0095	0.2178	0.0154	0.0069
2	-+	21	0.479	0.0221	0.0099	0.2631	0.0108	0.0048	1.9301	0.1127	0.0504	0.3166	0.0171	0.0076	0.2095	0.0066	0.0029
2	-+	22	0.4741	0.0259	0.0116	0.2581	0.0179	0.008	1.9266	0.1129	0.0505	0.3117	0.0218	0.0098	0.2045	0.0164	0.0074
2	-+	23	0.4905	0.025	0.0112	0.2745	0.0153	0.0068	1.938	0.1087	0.0486	0.328	0.0216	0.0097	0.2209	0.0102	0.0046
2	-+	24	0.4895	0.0375	0.0168	0.2735	0.0275	0.0123	1.9373	0.1209	0.0541	0.3271	0.0322	0.0144	0.2199	0.0239	0.0107
2	-+	25	0.4748	0.0218	0.0097	0.2588	0.012	0.0054	1.9271	0.108	0.0483	0.3123	0.0183	0.0082	0.2052	0.0076	0.0034
2	-+	26	0.5096	0.0262	0.0117	0.2936	0.0152	0.0068	1.9512	0.114	0.051	0.3471	0.021	0.0094	0.24	0.0111	0.0049
2	-+	27	0.5101	0.0221	0.0099	0.2941	0.0114	0.0051	1.9516	0.1104	0.0494	0.3477	0.0179	0.008	0.2406	0.0066	0.003
2	-+	28	0.5076	0.035	0.0156	0.2916	0.0258	0.0115	1.9499	0.123	0.055	0.3451	0.0294	0.0132	0.238	0.0239	0.0107
2	-+	29	0.4961	0.0248	0.0111	0.2801	0.0133	0.0059	1.9419	0.1139	0.0509	0.3337	0.0195	0.0087	0.2265	0.0087	0.0039
2	-+	30	0.5315	0.0333	0.0149	0.3155	0.0229	0.0102	1.9664	0.1154	0.0516	0.3691	0.0286	0.0128	0.2619	0.0182	0.0081
2	-+	31	0.5295	0.0296	0.0132	0.3135	0.0206	0.0092	1.965	0.1064	0.0476	0.367	0.0268	0.012	0.2599	0.0151	0.0068
2	-+	32	0.5122	0.0341	0.0152	0.2962	0.0239	0.0107	1.953	0.1172	0.0524	0.3498	0.0293	0.0131	0.2426	0.0198	0.0088
2	-+	33	0.5067	0.022	0.0098	0.2907	0.0154	0.0069	1.9493	0.1045	0.0468	0.3443	0.0202	0.009	0.2371	0.013	0.0058
2	-+	34	0.5365	0.0314	0.014	0.3205	0.0202	0.009	1.9699	0.1123	0.0502	0.3741	0.0271	0.0121	0.267	0.0136	0.0061
2	-+	35	0.5273	0.0299	0.0134	0.3113	0.0235	0.0105	1.9635	0.1058	0.0473	0.3648	0.0279	0.0125	0.2577	0.0207	0.0093
2	-+	36	0.5007	0.0322	0.0144	0.2847	0.0219	0.0098	1.9451	0.1188	0.0531	0.3382	0.0269	0.012	0.2311	0.0185	0.0083
2	-+	37	0.4842	0.0281	0.0126	0.2683	0.0166	0.0074	1.9337	0.115	0.0514	0.3218	0.0229	0.0103	0.2147	0.0113	0.0051
2	-+	38	0.4842	0.0253	0.0113	0.2682	0.0166	0.0074	1.9337	0.1134	0.0507	0.3218	0.0209	0.0093	0.2147	0.0148	0.0066
2	-+	39	0.4955	0.0212	0.0095	0.2795	0.012	0.0054	1.9415	0.1075	0.0481	0.3331	0.0183	0.0082	0.2259	0.0077	0.0034
2	-+	40	0.5051	0.0339	0.0152	0.2891	0.0226	0.0101	1.9481	0.118	0.0528	0.3427	0.0288	0.0129	0.2355	0.0173	0.0077
2	-+	41	0.4939	0.0205	0.0092	0.2779	0.0114	0.0051	1.9404	0.1077	0.0482	0.3315	0.0174	0.0078	0.2244	0.0077	0.0034
2	-+	42	0.493	0.0236	0.0105	0.277	0.0139	0.0062	1.9397	0.1123	0.0502	0.3305	0.0191	0.0086	0.2234	0.0111	0.005
2	-+	43	0.4915	0.0202	0.0091	0.2755	0.0115	0.0051	1.9387	0.1073	0.048	0.329	0.0174	0.0078	0.2219	0.008	0.0036
2	-+	44	0.4967	0.0333	0.0149	0.2807	0.0226	0.0101	1.9423	0.1201	0.0537	0.3343	0.0278	0.0124	0.2271	0.0189	0.0085
2	-+	45	0.4889	0.03	0.0134	0.2729	0.0187	0.0084	1.9369	0.1126	0.0503	0.3264	0.0256	0.0115	0.2193	0.0121	0.0054
2	-+	46	0.5004	0.0279	0.0125	0.2844	0.018	0.0081	1.9449	0.1117	0.05	0.338	0.024	0.0107	0.2308	0.0134	0.006
2	-+	47	0.4946	0.0221	0.0099	0.2786	0.0133	0.006	1.9408	0.1046	0.0468	0.3322	0.0198	0.0089	0.225	0.0082	0.0037
2	-+	48	0.4931	0.0285	0.0128	0.2771	0.0185	0.0083	1.9398	0.1146	0.0512	0.3307	0.024	0.0107	0.2235	0.0145	0.0065
2	-+	49	0.5022	0.0225	0.0101	0.2862	0.0144	0.0064	1.9461	0.1062	0.0475	0.3398	0.0202	0.009	0.2326	0.0104	0.0047
2	-+	50	0.5158	0.0276	0.0123	0.2998	0.0163	0.0073	1.9556	0.1132	0.0506	0.3534	0.0228	0.0102	0.2462	0.0108	0.0048
2	--	0	0.4366	0.0524	0.0234	0.2206	0.0438	0.0196	1.9007	0.1127	0.0504	0.2742	0.0499	0.0223	0.167	0.038	0.017
2	--	1	0.316	0.0492	0.022	0.1	0.0506	0.0226	1.817	0.1132	0.0506	0.1535	0.0496	0.0222	0.0464	0.0526	0.0235
2	--	2	0.4593	0.0251	0.0112	0.2433	0.0272	0.0122	1.9164	0.0954	0.0427	0.2969	0.0272	0.0121	0.1897	0.0291	0.013
2	--	3	0.3918	0.0513	0.0229	0.1758	0.0421	0.0188	1.8696	0.1314	0.0588	0.2294	0.0462	0.0206	0.1222	0.0389	0.0174
2	--	4	0.5298	0.0689	0.0308	0.3138	0.0719	0.0321	1.9653	0.0629	0.0281	0.3674	0.0727	0.0325	0.2603	0.0718	0.0321
2	--	5	0.4721	0.0738	0.033	0.2561	0.0723	0.0324	1.9253	0.152	0.068	0.3097	0.0704	0.0315	0.2026	0.075	0.0335
2	--	6	0.3914	0.0243	0.0108	0.1754	0.0181	0.0081	1.8693	0.1187	0.0531	0.229	0.0194	0.0087	0.1218	0.0196	0.0088
2	--	7	0.4155	0.0091	0.0041	0.1995	0.0145	0.0065	1.886	0.1044	0.0467	0.2531	0.0112	0.005	0.1459	0.0199	0.0089
2	--	8	0.3978	0.0211	0.0094	0.1818	0.0251	0.0112	1.8738	0.1106	0.0494	0.2354	0.0213	0.0095	0.1282	0.0303	0.0135
