motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	+-+-	47	0.7251	0.0339	0.0152	0.5601	0.0305	0.0136	2.0824	0.1265	0.0566
4	+-+-	48	0.7719	0.0312	0.0139	0.6069	0.033	0.0148	2.1148	0.114	0.051
4	+-+-	49	0.7196	0.0299	0.0134	0.5546	0.0264	0.0118	2.0786	0.1216	0.0544
4	+-+-	50	0.7781	0.0137	0.0061	0.6131	0.0114	0.0051	2.1191	0.1102	0.0493
4	+--+	0	0.3284	0.0764	0.0342	0.1634	0.0739	0.0331	1.8074	0.1458	0.0652
4	+--+	1	0.4468	0.0372	0.0166	0.2818	0.0362	0.0162	1.8895	0.1184	0.0529
4	+--+	2	0.5194	0.0617	0.0276	0.3544	0.0607	0.0272	1.9398	0.0997	0.0446
4	+--+	3	0.4704	0.0389	0.0174	0.3054	0.0388	0.0173	1.9058	0.1173	0.0525
4	+--+	4	0.5357	0.0736	0.0329	0.3707	0.0776	0.0347	1.9511	0.1253	0.056
4	+--+	5	0.4589	0.0295	0.0132	0.294	0.0325	0.0145	1.8979	0.1045	0.0467
4	+--+	6	0.4169	0.0246	0.011	0.2519	0.027	0.0121	1.8688	0.1156	0.0517
4	+--+	7	0.4586	0.0381	0.0171	0.2936	0.0384	0.0172	1.8976	0.1165	0.0521
4	+--+	8	0.461	0.0565	0.0253	0.2961	0.0559	0.025	1.8993	0.1231	0.0551
4	+--+	9	0.5616	0.0668	0.0299	0.3966	0.0661	0.0295	1.969	0.1271	0.0568
4	+--+	10	0.5904	0.0302	0.0135	0.4254	0.0328	0.0147	1.989	0.1064	0.0476
4	+--+	11	0.6117	0.0577	0.0258	0.4467	0.0598	0.0267	2.0038	0.1177	0.0526
4	+--+	12	0.6511	0.022	0.0098	0.4861	0.0213	0.0095	2.0311	0.1185	0.053
4	+--+	13	0.6804	0.0366	0.0164	0.5155	0.039	0.0175	2.0514	0.1201	0.0537
4	+--+	14	0.6671	0.0514	0.023	0.5021	0.0521	0.0233	2.0422	0.1339	0.0599
4	+--+	15	0.7251	0.0268	0.012	0.5601	0.0254	0.0114	2.0824	0.1211	0.0542
4	+--+	16	0.6957	0.0459	0.0205	0.5307	0.0455	0.0203	2.062	0.1351	0.0604
4	+--+	17	0.7768	0.0283	0.0127	0.6119	0.0263	0.0117	2.1182	0.1159	0.0518
4	+--+	18	0.7869	0.0313	0.014	0.6219	0.0313	0.014	2.1252	0.1213	0.0543
4	+--+	19	0.7927	0.0278	0.0124	0.6277	0.0233	0.0104	2.1293	0.1213	0.0542
4	+--+	20	0.7872	0.0266	0.0119	0.6222	0.0235	0.0105	2.1254	0.1233	0.0551
4	+--+	21	0.8303	0.0352	0.0158	0.6653	0.0307	0.0137	2.1553	0.1197	0.0535
4	+--+	22	0.8405	0.0129	0.0058	0.6755	0.009	0.004	2.1624	0.1107	0.0495
4	+--+	23	0.8221	0.0363	0.0162	0.6571	0.0324	0.0145	2.1496	0.1285	0.0575
4	+--+	24	0.7956	0.042	0.0188	0.6307	0.04	0.0179	2.1313	0.1335	0.0597
4	+--+	25	0.8103	0.045	0.0201	0.6454	0.0412	0.0184	2.1415	0.1344	0.0601
4	+--+	26	0.8868	0.0431	0.0193	0.7218	0.0424	0.019	2.1944	0.1278	0.0572
4	+--+	27	0.8583	0.0491	0.0219	0.6933	0.0449	0.0201	2.1747	0.1335	0.0597
4	+--+	28	0.8848	0.0441	0.0197	0.7198	0.0409	0.0183	2.1931	0.1325	0.0593
4	+--+	29	0.8578	0.0543	0.0243	0.6928	0.0507	0.0227	2.1744	0.1396	0.0625
4	+--+	30	0.8829	0.037	0.0165	0.7179	0.0336	0.015	2.1918	0.1244	0.0556
4	+--+	31	0.8249	0.0438	0.0196	0.66	0.0399	0.0179	2.1516	0.1277	0.0571
4	+--+	32	0.8504	0.0265	0.0118	0.6854	0.0257	0.0115	2.1692	0.1158	0.0518
4	+--+	33	0.8006	0.0445	0.0199	0.6357	0.0407	0.0182	2.1347	0.1321	0.0591
4	+--+	34	0.8708	0.02	0.009	0.7059	0.0201	0.009	2.1834	0.1137	0.0508
4	+--+	35	0.8154	0.0559	0.025	0.6504	0.0526	0.0235	2.1449	0.1414	0.0633
4	+--+	36	0.8417	0.0273	0.0122	0.6767	0.0256	0.0114	2.1632	0.1227	0.0549
4	+--+	37	0.7938	0.0361	0.0161	0.6288	0.0326	0.0146	2.13	0.128	0.0572
4	+--+	38	0.8558	0.0244	0.0109	0.6909	0.0231	0.0103	2.173	0.115	0.0514
4	+--+	39	0.7837	0.0324	0.0145	0.6187	0.0288	0.0129	2.123	0.1245	0.0557
4	+--+	40	0.8519	0.0277	0.0124	0.6869	0.0283	0.0127	2.1703	0.1064	0.0476
4	+--+	41	0.7787	0.0398	0.0178	0.6137	0.0367	0.0164	2.1196	0.1307	0.0585
4	+--+	42	0.8458	0.0271	0.0121	0.6808	0.0285	0.0128	2.166	0.1159	0.0518
4	+--+	43	0.7962	0.0301	0.0135	0.6312	0.0269	0.012	2.1317	0.1247	0.0558
4	+--+	44	0.8528	0.0286	0.0128	0.6879	0.0287	0.0128	2.1709	0.1178	0.0527
4	+--+	45	0.781	0.0346	0.0155	0.616	0.0312	0.0139	2.1211	0.1263	0.0565
4	+--+	46	0.8167	0.0253	0.0113	0.6517	0.0241	0.0108	2.1459	0.1171	0.0524
4	+--+	47	0.7692	0.0294	0.0132	0.6042	0.0257	0.0115	2.1129	0.1236	0.0553
4	+--+	48	0.8346	0.0265	0.0118	0.6696	0.029	0.013	2.1583	0.1046	0.0468
4	+--+	49	0.7589	0.025	0.0112	0.5939	0.0213	0.0095	2.1058	0.1198	0.0536
4	+--+	50	0.8183	0.0212	0.0095	0.6533	0.0218	0.0097	2.147	0.108	0.0483
