motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	-+	48	0.624	0.1026	0.0459	0.349	0.0529	0.0237	2.0094	0.1518	0.0679
2	-+	49	0.6495	0.1153	0.0515	0.3745	0.0657	0.0294	2.027	0.1551	0.0694
2	-+	50	0.5826	0.1162	0.052	0.3076	0.0655	0.0293	1.9806	0.1605	0.0718
4	++++	0	1.2189	0.2167	0.0969	0.9439	0.2596	0.1161	2.4217	0.1675	0.0749
4	++++	1	0.8535	0.2789	0.1247	0.5784	0.2363	0.1057	2.1684	0.2578	0.1153
4	++++	2	3.1639	0.3113	0.1392	2.8889	0.3071	0.1373	3.7698	0.2175	0.0973
4	++++	3	2.4699	0.3334	0.1491	2.1949	0.3028	0.1354	3.2888	0.251	0.1123
4	++++	4	1.0018	0.1742	0.0779	0.7267	0.1823	0.0815	2.2712	0.0663	0.0296
4	++++	5	1.2036	0.2856	0.1277	0.9285	0.2382	0.1065	2.411	0.2687	0.1202
4	++++	6	1.4451	0.3193	0.1428	1.17	0.2692	0.1204	2.5785	0.282	0.1261
4	++++	7	1.283	0.2398	0.1072	1.0079	0.1938	0.0867	2.4661	0.2246	0.1004
4	++++	8	1.4335	0.2971	0.1329	1.1585	0.2553	0.1142	2.5705	0.2294	0.1026
4	++++	9	0.9945	0.2419	0.1082	0.7194	0.1922	0.0859	2.2661	0.2449	0.1095
4	++++	10	1.4499	0.2385	0.1067	1.1748	0.1944	0.0869	2.5818	0.2101	0.094
4	++++	11	1.266	0.2368	0.1059	0.9909	0.1867	0.0835	2.4543	0.2336	0.1045
4	++++	12	1.4895	0.1756	0.0785	1.2144	0.1262	0.0564	2.6092	0.1859	0.0831
4	++++	13	1.2207	0.2642	0.1182	0.9457	0.2145	0.0959	2.4229	0.2443	0.1093
4	++++	14	1.3415	0.2411	0.1078	1.0664	0.1931	0.0863	2.5066	0.2171	0.0971
4	++++	15	1.2527	0.2499	0.1118	0.9777	0.1993	0.0891	2.4451	0.2368	0.1059
4	++++	16	1.4068	0.1675	0.0749	1.1317	0.1254	0.0561	2.5519	0.16	0.0715
4	++++	17	1.2292	0.2542	0.1137	0.9542	0.2039	0.0912	2.4288	0.2359	0.1055
4	++++	18	1.3722	0.2501	0.1118	1.0972	0.2004	0.0896	2.528	0.2315	0.1035
4	++++	19	1.1933	0.2451	0.1096	0.9182	0.1945	0.087	2.4039	0.2356	0.1054
4	++++	20	1.4715	0.1933	0.0864	1.1965	0.1454	0.065	2.5968	0.1918	0.0858
4	++++	21	1.2079	0.2332	0.1043	0.9328	0.1826	0.0817	2.414	0.2266	0.1013
4	++++	22	1.3656	0.2487	0.1112	1.0905	0.1992	0.0891	2.5233	0.2322	0.1039
4	++++	23	1.23	0.2526	0.113	0.9549	0.2021	0.0904	2.4293	0.2378	0.1064
4	++++	24	1.465	0.2146	0.096	1.1899	0.1712	0.0765	2.5922	0.1932	0.0864
4	++++	25	1.2053	0.2508	0.1122	0.9302	0.2002	0.0895	2.4122	0.2365	0.1057
4	++++	26	1.3426	0.2396	0.1071	1.0676	0.1922	0.086	2.5075	0.2164	0.0968
4	++++	27	1.2218	0.2192	0.098	0.9467	0.1689	0.0755	2.4237	0.2165	0.0968
4	++++	28	1.4043	0.1781	0.0796	1.1293	0.1311	0.0586	2.5502	0.1833	0.082
4	++++	29	1.1581	0.2195	0.0982	0.8831	0.1689	0.0755	2.3795	0.221	0.0988
