motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	-+	12	0.2938	0.0092	0.0041	0.1493	0.0066	0.003	1.7966	0.111	0.0497	0.2844	0.0074	0.0033	0.0141	0.0131	0.0059
2	-+	13	0.2845	0.0302	0.0135	0.1399	0.0254	0.0113	1.7901	0.0994	0.0445	0.275	0.0297	0.0133	0.0048	0.0234	0.0105
2	-+	14	0.2991	0.0193	0.0086	0.1545	0.0105	0.0047	1.8002	0.1106	0.0495	0.2896	0.0186	0.0083	0.0194	0.0041	0.0018
2	-+	15	0.2963	0.0124	0.0056	0.1517	0.01	0.0045	1.7983	0.1068	0.0478	0.2869	0.0132	0.0059	0.0166	0.0129	0.0058
2	-+	16	0.2951	0.0237	0.0106	0.1505	0.0175	0.0078	1.7974	0.1198	0.0536	0.2856	0.0226	0.0101	0.0154	0.0155	0.0069
2	-+	17	0.2841	0.0254	0.0113	0.1395	0.0185	0.0083	1.7898	0.1053	0.0471	0.2746	0.025	0.0112	0.0044	0.0141	0.0063
2	-+	18	0.3122	0.0156	0.007	0.1676	0.007	0.0031	1.8093	0.1105	0.0494	0.3028	0.015	0.0067	0.0325	0.0035	0.0016
2	-+	19	0.3081	0.0118	0.0053	0.1636	0.0058	0.0026	1.8065	0.1076	0.0481	0.2987	0.0117	0.0052	0.0284	0.0083	0.0037
2	-+	20	0.2991	0.0167	0.0075	0.1546	0.0101	0.0045	1.8003	0.1145	0.0512	0.2897	0.0153	0.0068	0.0194	0.0105	0.0047
2	-+	21	0.2881	0.0228	0.0102	0.1436	0.016	0.0071	1.7926	0.1035	0.0463	0.2787	0.0227	0.0101	0.0084	0.0117	0.0052
2	-+	22	0.3106	0.0152	0.0068	0.1661	0.0074	0.0033	1.8082	0.1082	0.0484	0.3012	0.0144	0.0064	0.0309	0.0065	0.0029
2	-+	23	0.3087	0.0121	0.0054	0.1642	0.0092	0.0041	1.8069	0.1034	0.0462	0.2993	0.0131	0.0059	0.029	0.0117	0.0052
2	-+	24	0.3002	0.0189	0.0084	0.1556	0.0135	0.006	1.801	0.1175	0.0525	0.2907	0.0175	0.0078	0.0205	0.0141	0.0063
2	-+	25	0.2841	0.0243	0.0109	0.1395	0.0172	0.0077	1.7898	0.1048	0.0468	0.2747	0.0238	0.0106	0.0044	0.0127	0.0057
2	-+	26	0.3025	0.0165	0.0074	0.158	0.0089	0.004	1.8026	0.1103	0.0493	0.2931	0.0153	0.0069	0.0228	0.0079	0.0035
2	-+	27	0.2967	0.0094	0.0042	0.1521	0.0061	0.0027	1.7986	0.1044	0.0467	0.2872	0.0094	0.0042	0.017	0.0112	0.005
