position	mean_all	median_all	mean_decile4	mean_decile6	mean_decile8	mean_decile10
-8375.0	4.037947	1.0	1.2572389	2.1060133	4.429425	18.394396
-8325.0	4.042794	1.0	1.244829	2.1129532	4.499249	18.407131
-8275.0	4.0475526	1.0	1.2638954	2.1338258	4.5470695	18.423342
-8225.0	4.025413	1.0	1.2772194	2.1062927	4.575472	18.255173
-8175.0	4.010763	1.0	1.2740643	2.103401	4.602575	18.12908
-8125.0	4.0097375	1.0	1.29091	2.102352	4.549821	18.086592
-8075.0	4.0313377	1.0	1.3123438	2.099574	4.5328445	18.220135
-8025.0	4.0506477	1.0	1.3081564	2.0925803	4.48968	18.489202
-7975.0	4.080358	1.0	1.3050421	2.101461	4.420733	18.872637
-7925.0	4.136127	1.0	1.3138118	2.0998268	4.37955	19.355032
-7875.0	4.1625195	1.0	1.2857689	2.0912936	4.357868	19.67864
-7825.0	4.1588182	1.0	1.2625611	2.0923674	4.3424335	19.727139
-7775.0	4.127443	1.0	1.2610875	2.0913472	4.338793	19.441097
-7725.0	4.082375	1.0	1.2522305	2.0823257	4.3294477	18.988554
-7675.0	3.998494	1.0	1.2458014	2.0702283	4.2999177	18.336393
-7625.0	3.9377763	1.0	1.2376459	2.062627	4.296839	17.83411
-7575.0	3.8917155	1.0	1.2246015	2.06458	4.2452917	17.532623
-7525.0	3.8750584	1.0	1.2302426	2.0512865	4.1634912	17.49509
-7475.0	3.8833258	1.0	1.2206925	2.0470076	4.1300874	17.627083
-7425.0	3.9095716	1.0	1.2073952	2.0324776	4.156696	17.842175
-7375.0	3.9339623	1.0	1.232564	2.0285277	4.1529403	18.004677
-7325.0	3.96504	1.0	1.2881426	2.0200267	4.213071	18.152966
-7275.0	4.0001245	1.0	1.3077163	2.0118139	4.2817893	18.409191
-7225.0	4.0335903	1.0	1.3282564	2.0207062	4.3666058	18.718216
-7175.0	4.0600767	1.0	1.338947	2.0401285	4.412028	19.00889
-7125.0	4.0767074	1.0	1.338399	2.026388	4.4611588	19.207357
-7075.0	4.0843124	1.0	1.3175329	2.050527	4.486139	19.306143
-7025.0	4.07686	1.0	1.3032081	2.0803666	4.5139484	19.22913
-6975.0	4.058506	1.0	1.293124	2.0806596	4.4548006	19.155558
-6925.0	4.045001	1.0	1.2777058	2.0795398	4.4131646	19.128775
-6875.0	4.050564	1.0	1.2687097	2.093219	4.3822904	19.24224
-6825.0	4.050792	1.0	1.2657747	2.0726802	4.328845	19.269163
-6775.0	4.0655575	1.0	1.2529109	2.0406263	4.293596	19.350145
-6725.0	4.07432	1.0	1.266908	2.0314775	4.299677	19.278532
-6675.0	4.0810466	1.0	1.298266	2.0157213	4.2521834	19.20384
-6625.0	4.0659237	1.0	1.3139445	2.0282857	4.188235	18.971415
-6575.0	4.04554	1.0	1.3055023	2.0225925	4.1451187	18.881018
-6525.0	4.0123525	1.0	1.3056483	2.0580196	4.117719	18.721264
-6475.0	3.977287	1.0	1.3014612	2.0833337	4.0935802	18.54993
-6425.0	3.9517813	1.0	1.299153	2.1168325	4.0952315	18.396843
-6375.0	3.9359188	1.0	1.2847747	2.1149597	4.1288424	18.353952
-6325.0	3.942858	1.0	1.2724572	2.103014	4.185248	18.357826
-6275.0	3.9606256	1.0	1.2802131	2.067642	4.202903	18.390486
-6225.0	3.9960532	1.0	1.2689831	2.0306666	4.219507	18.630024
-6175.0	4.019846	1.0	1.24859	1.9934714	4.246754	18.843851
-6125.0	4.0485225	1.0	1.257693	1.9420478	4.2529054	19.00659
-6075.0	4.048443	1.0	1.2689364	1.92056	4.199332	18.981771
-6025.0	4.038391	1.0	1.2655483	1.8938154	4.1797867	18.964582
-5975.0	4.0103073	1.0	1.278032	1.8832861	4.1350064	18.804316
-5925.0	4.0037947	1.0	1.2824805	1.8659298	4.09636	18.774872
-5875.0	3.9931035	1.0	1.282674	1.8940052	4.0702753	18.778904
-5825.0	3.9992156	1.0	1.2906845	1.9271463	4.072703	18.84685
-5775.0	3.9961176	1.0	1.2868749	1.9706984	4.0582438	18.760405
-5725.0	3.9784825	1.0	1.2762258	1.9728936	4.072029	18.516544
-5675.0	3.943432	1.0	1.296552	1.9582506	4.090735	18.123041
-5625.0	3.9082267	1.0	1.2958592	1.9430002	4.0887704	17.744595
-5575.0	3.8673995	1.0	1.3021804	1.9410245	4.0915074	17.366917
-5525.0	3.8224483	1.0	1.3217204	1.9166278	4.067384	17.104868
-5475.0	3.7962265	1.0	1.3255616	1.924634	4.0505667	16.999254
-5425.0	3.783234	1.0	1.3261094	1.960574	4.0409393	16.906284
