config	mode	half_window	fold	stratum	n	pearson	spearman
multimodal_5PRIME	multimodal	500	1	quintile4	2872	0.358	0.3624
multimodal_5PRIME	multimodal	500	1	quintile5	2873	0.5594	0.5665
multimodal_5PRIME	multimodal	500	1	top_quintile	2873	0.5594	0.5665
multimodal_5PRIME	multimodal	500	1	top_two_quintiles	5745	0.7222	0.727
multimodal_5PRIME	multimodal	500	2	all	10491	0.8159	0.7918
multimodal_5PRIME	multimodal	500	2	quintile1	2099	0.1707	0.1945
multimodal_5PRIME	multimodal	500	2	quintile2	2098	0.1593	0.1723
multimodal_5PRIME	multimodal	500	2	quintile3	2098	0.1911	0.2
multimodal_5PRIME	multimodal	500	2	quintile4	2098	0.3261	0.3219
multimodal_5PRIME	multimodal	500	2	quintile5	2098	0.5861	0.5896
multimodal_5PRIME	multimodal	500	2	top_quintile	2098	0.5861	0.5896
multimodal_5PRIME	multimodal	500	2	top_two_quintiles	4196	0.7164	0.7074
multimodal_5PRIME	multimodal	500	3	all	11028	0.8313	0.8085
multimodal_5PRIME	multimodal	500	3	quintile1	2206	0.1908	0.2093
multimodal_5PRIME	multimodal	500	3	quintile2	2205	0.1833	0.1867
multimodal_5PRIME	multimodal	500	3	quintile3	2206	0.2346	0.2413
multimodal_5PRIME	multimodal	500	3	quintile4	2205	0.368	0.372
multimodal_5PRIME	multimodal	500	3	quintile5	2206	0.582	0.5862
multimodal_5PRIME	multimodal	500	3	top_quintile	2206	0.582	0.5862
multimodal_5PRIME	multimodal	500	3	top_two_quintiles	4411	0.7325	0.7353
multimodal_5PRIME	multimodal	500	4	all	10463	0.8126	0.7857
multimodal_5PRIME	multimodal	500	4	quintile1	2093	0.2153	0.2197
multimodal_5PRIME	multimodal	500	4	quintile2	2092	0.1793	0.1823
multimodal_5PRIME	multimodal	500	4	quintile3	2093	0.1954	0.2026
multimodal_5PRIME	multimodal	500	4	quintile4	2092	0.3534	0.3479
multimodal_5PRIME	multimodal	500	4	quintile5	2093	0.5971	0.6033
multimodal_5PRIME	multimodal	500	4	top_quintile	2093	0.5971	0.6033
multimodal_5PRIME	multimodal	500	4	top_two_quintiles	4185	0.7246	0.7185
