distance	K562	GM12878	TeloHAEC_ctrl	TeloHAEC_TNFa
937.5	0.00523567767344165	0.004987010544590278	0.003964261925044889	0.0037945654958951
962.5	0.0051791173297576635	0.0049372948476773156	0.003844476894287778	0.0037083988334963287
987.5	0.005091362101879515	0.0048728058323037554	0.0037721791547778664	0.0036135538763879885
1012.5	0.005023810420878484	0.004798853272606173	0.0037052504055992436	0.0035958451242849975
1037.5	0.004944561901975555	0.004704234468216374	0.003682328722664791	0.003494107840363856
1062.5	0.00486644715869203	0.004594999225956702	0.003731389985018886	0.0034273855890099474
1087.5	0.004781697544202979	0.004500527398079973	0.0037343280644184093	0.003369366786843018
1112.5	0.004685756248320552	0.004422008662399497	0.003766326314069268	0.003353808742559365
1137.5	0.004607058562566552	0.004343499038470537	0.003780631962574134	0.0034482638052677184
1162.5	0.004568892789901105	0.004267447210463622	0.0037492924489791364	0.003513325861111965
1187.5	0.004530283365906328	0.004210069322878761	0.0036406068292869132	0.003450980488828969
1212.5	0.00449494321353207	0.00414333366651971	0.003543108063498872	0.00335017392057233
1237.5	0.004464264339701529	0.004093062548929355	0.0034569360601578282	0.0032480718967285893
1262.5	0.004420295372481612	0.0040436978525301365	0.003321813555392448	0.003226023997270845
1287.5	0.004385683785134406	0.004000872224391628	0.003264771676574146	0.0031654897473620152
1312.5	0.0043625044729698175	0.003972286679170373	0.0032104230372054163	0.003119243240627176
1337.5	0.004329392978853388	0.003949722020864616	0.003159018306758846	0.00316550232460073
1362.5	0.004309557558563478	0.003939228848622881	0.003185291965198708	0.0032222130939418654
1387.5	0.004261778435941298	0.003918094735300125	0.003206161656171564	0.003149994589271899
1412.5	0.0042026945709345365	0.0038952701939954783	0.0032109185466279596	0.0030721037499439724
1437.5	0.004146772343484713	0.003870751659241024	0.0032258362950077137	0.0030620168044989482
1462.5	0.0041200628149319855	0.0038410588381329225	0.0032041329823004642	0.003083637077840569
1487.5	0.00409110970407058	0.0038055142917564466	0.003248460672288643	0.0031264625756464272
1512.5	0.004056389578171863	0.0037517062299378297	0.003250932389878734	0.003149378304575141
1537.5	0.004006257882445536	0.0036885269297993314	0.003216293366481863	0.003111898133220826
1562.5	0.003955921320203193	0.0036373791032509807	0.00313873156804779	0.003034258838667075
1587.5	0.003914491250600878	0.0035934450107363036	0.003124880622307133	0.002993370235622489
1612.5	0.0038832818945997967	0.003565282963877493	0.003074367808821125	0.003019631510047932
1637.5	0.003847287345208676	0.003545163820437438	0.0030535739016423007	0.003058558063853845
1662.5	0.003822183734974453	0.003518835612605609	0.0029862778925387255	0.003011607231751278
1687.5	0.0037941351120423634	0.0035105807619241294	0.002906920601138269	0.00300362068517073
1712.5	0.003771633261336836	0.0035029011400754206	0.002822835566894521	0.002947161460603778
1737.5	0.0037474436361551837	0.0035051806625988778	0.0027985730937579154	0.0029535003889133715
1762.5	0.0037160520258363505	0.003497825894498754	0.00281760648510607	0.003017895851106011
1787.5	0.0037042588599699613	0.003480537336465401	0.002804513377305774	0.002999658854977247
1812.5	0.0036594505279516037	0.003465266833304221	0.002759661030281963	0.003024712714486563
1837.5	0.003633963867079351	0.0034359254088729236	0.002779020874896739	0.003021316860035002
1862.5	0.0036346955978141414	0.003402844600865127	0.0027755115022806325	0.0030044130512094313
1887.5	0.0036512997349765807	0.0033698180672031525	0.002850543287898436	0.0029679139044744545
1912.5	0.0036636998122435553	0.003346433747426904	0.0028962350861792647	0.002919026177610627
1937.5	0.003658400869709656	0.003319549722754574	0.0029026067544008645	0.0029158944451719675
1962.5	0.0036536346705661176	0.0033237367706430766	0.002854903770816789	0.0028805146726821433
1987.5	0.0036392171329728104	0.003304325174513904	0.0028094568124859436	0.002867635580243607
