motif1_name	motif2_name	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	mean_prediction_mean	mean_prediction_std	n_sequences_first
CTCF	E2F	+-	0	0.1362416592158257	0.03380478819590775	0.015117960874206441	1.680591058731079	0.10600093224295612	1000
CTCF	E2F	+-	9	0.13046134596794112	0.032600765025668894	0.014579505343178664	1.676584506034851	0.11466196639705051	1000
CTCF	E2F	+-	18	0.12458965188830384	0.02576883442647428	0.011524173095706658	1.672514510154724	0.11029784759520458	1000
CTCF	E2F	+-	27	0.13249330163983702	0.027959137625027455	0.012503706464366682	1.677992868423462	0.11136718156231289	1000
CTCF	E2F	+-	36	0.14370095309275838	0.029280049971056054	0.013094436423974417	1.6857614278793336	0.11199633926790635	1000
CTCF	E2F	-+	0	0.15269771812382613	0.017977877169837696	0.008039951088579723	1.6919975280761719	0.11502309437959965	1000
CTCF	E2F	-+	9	0.1197536921516323	0.03102362504743972	0.01387418690290807	1.6691625118255615	0.11100890021640034	1000
CTCF	E2F	-+	18	0.12463332043314106	0.025520268272774736	0.011413010932391091	1.672544813156128	0.11029175596547852	1000
CTCF	E2F	-+	27	0.13445611813630293	0.028106410275079517	0.012569568795715271	1.679353451728821	0.11185053278741458	1000
CTCF	E2F	-+	36	0.13989579394675597	0.02819151335427286	0.012607628049749443	1.6831239223480225	0.11195518722496264	1000
CTCF	E2F	--	0	0.16882198380221583	0.04389961819854585	0.019632506095647075	1.7031740427017212	0.12258518111120474	1000
CTCF	E2F	--	9	0.12166239323211266	0.026352828019644444	0.011785342970257228	1.670485544204712	0.11031676930555706	1000
CTCF	E2F	--	18	0.12837268546627273	0.028933848842940993	0.012939610572703939	1.6751367330551148	0.1132285926547678	1000
CTCF	E2F	--	27	0.13604066954111174	0.0289524242263489	0.012947917736705578	1.6804517030715942	0.11167512984916539	1000
CTCF	E2F	--	36	0.14343700486912983	0.03200873079543089	0.014314739586414875	1.685578465461731	0.11352658158708276	1000
CTCF	ETS	++	0	0.20689395950593292	0.04216830000473612	0.018858237061238934	1.729563546180725	0.11342206051818574	1000
CTCF	ETS	++	9	0.19029840117025132	0.039035206155606836	0.017457074895931023	1.718060350418091	0.11233248186000867	1000
CTCF	ETS	++	18	0.18155176985638155	0.03373125089308025	0.015085073992605587	1.7119976043701173	0.10950233977993186	1000
CTCF	ETS	++	27	0.19279695437307054	0.02946246807517368	0.013176016280201146	1.7197922468185425	0.10512770325750527	1000
CTCF	ETS	++	36	0.2047047622461363	0.038904497482232334	0.017398620200148183	1.7280461072921753	0.1080724619406486	1000
CTCF	ETS	+-	0	0.20794827549943284	0.04876194596511436	0.021807005178633456	1.7302943468093872	0.10871807700702878	1000
CTCF	ETS	+-	9	0.18658764760087382	0.04296613447235878	0.019215039482118258	1.7154882669448852	0.10931112970255123	1000
