motif	percentile_threshold	pct_hits_kept	score_threshold	n_hits_passing	n_regions_passing	p300_pos_with_hit	p300_neg_with_hit	odds_ratio	log2_odds_ratio	p_value
RFX_1	75	top 25%	4.62644624826255	34915	18728	3929	14799	1.2024549525476735	0.26598284746441253	6.088997211761691e-21
RFX_1	90	top 10%	7.68714234660122	13966	7471	1547	5924	1.1629993891125903	0.2178503390084933	3.992550225099933e-07
RUNX_0	0	top 100%	4.200001337887029	234400	104620	19935	84685	1.155060348966604	0.20796823075850715	3.6192722844803406e-21
RUNX_0	25	top 75%	4.980271497062397	175801	91129	17553	73576	1.1557362366626618	0.20881218202723537	9.958156254308674e-25
RUNX_0	50	top 50%	6.052111528555689	117201	72002	14179	57823	1.1764571237282737	0.23444874214165676	3.1983957736974574e-33
RUNX_0	75	top 25%	7.764613013327761	58601	43601	8777	34824	1.1684890988580494	0.22464427490225936	1.2099794177539753e-26
RUNX_0	90	top 10%	9.805481428264228	23441	20057	4161	15896	1.1850414005572618	0.24493746193813817	7.051916425261592e-19
STAT_0	0	top 100%	5.100025344230133	331089	122629	23272	99357	1.260949834607394	0.3345108808978837	2.4897489914390002e-33
STAT_0	25	top 75%	5.864951555308311	248317	109277	21128	88149	1.2763209465876646	0.3519911581219725	5.867624428969968e-52
STAT_0	50	top 50%	6.935431721452535	165545	88791	17694	71097	1.2916657818202502	0.369232821358126	5.1320551301692705e-74
STAT_0	75	top 25%	8.680314699201686	82773	55883	11656	44227	1.2903091988775948	0.36771682242037956	1.176497165012075e-76
STAT_0	90	top 10%	10.80236205634375	33109	26455	5861	20594	1.329080019618651	0.41042796724138564	1.6595806136771098e-63
TAL_0	0	top 100%	7.600028698042323	430037	133199	24984	108215	1.2874502961676728	0.36451673609657237	4.6553879366222656e-23
TAL_0	25	top 75%	8.051461499788076	322527	124256	23627	100629	1.3106789058872568	0.3903142930176675	1.2383329700698248e-41
TAL_0	50	top 50%	8.610229211009306	215020	106700	20709	85991	1.2795312269596322	0.3556153567795198	1.658608982970635e-55
TAL_0	75	top 25%	9.465089243839586	107510	72490	14600	57890	1.2502171261547619	0.3221786705867549	4.430564375879747e-61
TAL_0	90	top 10%	10.440703389388478	43006	36168	7660	28508	1.2616493026989941	0.33531094394234434	3.409189994316532e-52
ZNF_0	0	top 100%	4.100006153189996	950874	117401	21656	95745	0.9957597348352499	-0.006130416024852889	0.8037433667232836
ZNF_0	25	top 75%	5.222565183456832	713154	107298	19862	87436	1.0134349597465706	0.01925350245845503	0.38942155850121046
ZNF_0	50	top 50%	6.755251012697759	475438	91720	17020	74700	1.0178084495724022	0.02546607334423807	0.21001503620102885
ZNF_0	75	top 25%	9.243466695776794	237746	65566	12356	53210	1.0478233434491429	0.06739550789378342	0.0005883717304698325
ZNF_0	90	top 10%	11.90343655652144	95085	38547	7434	31113	1.0767732400012304	0.1067144616087501	1.1585738572379806e-06
ZNF_3	0	top 100%	1.8000094590704725	1342210	122567	22705	99862	1.02849539325836	0.04053533189084594	0.13487726424237004
ZNF_3	25	top 75%	3.1812685601384985	1006658	113268	21048	92220	1.038213627765155	0.05410333002227909	0.02210882910167925
ZNF_3	50	top 50%	5.007819718538001	671106	98026	18348	79678	1.0545454992487924	0.07662134276033551	0.00024922811648038945
ZNF_3	75	top 25%	7.931079210547029	335553	72778	13800	58978	1.0692432942370746	0.09659015937580456	7.496254686654071e-07
ZNF_3	90	top 10%	11.395810489108156	134200	44861	8597	36264	1.069523932681604	0.09696876597631075	3.886025563414877e-06
